player,avg_moves,pct_long_games,avg_trades,avg_queen_move,pct_castled_early,avg_checks,win_rate,pct_wins,pct_draws,pct_losses
AAlmeidaTX,65.71428571428571,0.2857142857142857,15.357142857142858,19.0,0.07142857142857142,3.642857142857143,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143
ALLinAL30,60.5,0.0,11.0,20.0,0.0,1.0,0.5,0.5,0.0,0.5
Accusefive,76.83333333333333,0.6666666666666666,17.833333333333332,21.166666666666668,0.16666666666666666,4.5,0.5833333333333334,0.5,0.16666666666666666,0.3333333333333333
Ahmedovich3A,85.91666666666667,0.5833333333333334,18.666666666666668,21.75,0.5833333333333334,5.833333333333333,0.5416666666666666,0.5,0.08333333333333333,0.4166666666666667
AkatsukiShisui,74.0,0.0,22.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0
AlphaPerez05,104.0,1.0,26.0,12.0,1.0,7.0,0.0,0.0,0.0,1.0
AmandaHuggenkiss,76.0,0.0,18.0,19.0,1.0,6.0,0.0,0.0,0.0,1.0
AndrsPalu,60.0,0.0,17.0,12.0,0.0,4.0,0.0,0.0,0.0,1.0
Annaconda116,116.0,1.0,26.0,15.0,0.0,10.0,0.0,0.0,0.0,1.0
ArasanX,139.75,0.75,23.75,22.75,0.5,12.0,0.375,0.25,0.25,0.5
Ariel_mlr,81.0,1.0,16.0,17.0,0.0,5.0,1.0,1.0,0.0,0.0
Arrowlimit,71.5,0.3333333333333333,17.833333333333332,19.833333333333332,0.3333333333333333,3.5,0.75,0.6666666666666666,0.16666666666666666,0.16666666666666666
Arteler,90.3529411764706,0.5882352941176471,19.647058823529413,17.764705882352942,0.058823529411764705,5.529411764705882,0.5882352941176471,0.5882352941176471,0.0,0.4117647058823529
AstralHamster,74.0,0.0,20.0,19.0,0.0,6.0,0.0,0.0,0.0,1.0
AtlMigos,67.0,0.3333333333333333,16.333333333333332,23.0,0.3333333333333333,2.6666666666666665,1.0,1.0,0.0,0.0
Attack2GM,77.0,0.5,17.0,19.0,0.25,4.25,0.5,0.5,0.0,0.5
Attacker2700,112.0,1.0,23.0,21.0,1.0,14.0,0.0,0.0,0.0,1.0
BFC18,100.0,1.0,30.0,6.0,0.0,10.0,0.5,0.0,1.0,0.0
BIG_Pirate,62.0,0.0,13.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0
BPDX,89.0,1.0,23.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
BRM1965,89.6,0.8,17.0,19.2,0.8,5.8,0.8,0.8,0.0,0.2
Bestinblitz,69.0,0.0,17.5,14.0,0.0,6.0,1.0,1.0,0.0,0.0
BlindMonster,53.75,0.0,12.5,22.5,0.25,2.75,0.5,0.5,0.0,0.5
Brainy60,132.91666666666666,0.5833333333333334,19.833333333333332,15.75,0.16666666666666666,15.416666666666666,0.5833333333333334,0.16666666666666666,0.8333333333333334,0.0
Burjugul_7,61.0,0.0,15.75,27.75,0.5,3.25,0.5,0.5,0.0,0.5
CH-Subject029,94.0,0.6666666666666666,20.333333333333332,22.666666666666668,0.3333333333333333,8.666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
COMMANDERGODJONES,71.0,0.0,17.0,26.0,1.0,5.0,1.0,1.0,0.0,0.0
CPU1994,65.0,0.0,10.0,19.0,0.0,5.0,1.0,1.0,0.0,0.0
CPU2006,173.0,1.0,20.0,48.0,1.0,25.0,1.0,1.0,0.0,0.0
CPU2010,151.0,1.0,17.0,15.0,1.0,7.0,0.5,0.0,1.0,0.0
CaissaChessEngine,116.85714285714286,0.7142857142857143,19.714285714285715,20.285714285714285,0.14285714285714285,14.0,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.0
Carlo_Manzanarez2007,135.0,1.0,28.0,20.0,0.0,5.0,0.5,0.0,1.0,0.0
Catancity,67.5,0.5,14.5,21.5,0.5,1.5,0.5,0.5,0.0,0.5
Cheng-4-NN,277.0,1.0,20.5,23.5,0.0,27.5,0.75,0.5,0.5,0.0
ChessBoiJasonUSCA,115.91666666666667,0.75,23.916666666666668,22.083333333333332,0.5,6.833333333333333,0.375,0.3333333333333333,0.08333333333333333,0.5833333333333334
ChessStudy11,73.0,0.0,15.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0
Chessanonymous1,72.77777777777777,0.3333333333333333,15.88888888888889,23.555555555555557,0.0,5.333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
ChessatronBot,110.0,1.0,21.0,10.0,0.0,16.0,0.0,0.0,0.0,1.0
Chigurhavi,115.0,1.0,22.0,8.0,0.0,8.0,1.0,1.0,0.0,0.0
